Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.05,202.00,0.03,200.00,0.05
0.20,200.01,0.09,202.01,0.06,200.01,0.10
0.40,200.04,0.19,202.02,0.12,200.04,0.21
0.60,200.08,0.28,202.05,0.18,200.09,0.31
0.80,200.15,0.38,202.09,0.23,200.17,0.42
1.00,200.24,0.47,202.15,0.29,200.26,0.52
1.20,200.34,0.56,202.21,0.35,200.38,0.62
1.40,200.46,0.66,202.29,0.41,200.51,0.73
1.60,200.60,0.75,202.37,0.46,200.67,0.83
1.80,200.76,0.84,202.47,0.52,200.84,0.93
2.00,200.94,0.93,202.58,0.58,201.04,1.03
2.20,201.13,1.02,202.70,0.63,201.25,1.13
2.40,201.34,1.11,202.84,0.69,201.49,1.23
2.60,201.57,1.19,202.98,0.74,201.74,1.32
2.80,201.82,1.28,203.13,0.79,202.02,1.42
3.00,202.08,1.36,203.30,0.85,202.31,1.51
3.20,202.37,1.45,203.47,0.90,202.62,1.60
3.40,202.66,1.53,203.66,0.95,202.95,1.69
3.60,202.98,1.61,203.85,1.00,203.30,1.78
3.80,203.31,1.69,204.06,1.05,203.67,1.87
4.00,203.65,1.76,204.27,1.10,204.05,1.96
4.20,204.01,1.84,204.49,1.14,204.45,2.04
4.40,204.39,1.91,204.73,1.19,204.87,2.12
4.60,204.78,1.98,204.97,1.23,205.30,2.20
4.80,205.18,2.05,205.22,1.28,205.75,2.28
5.00,205.60,2.12,205.48,1.32,206.21,2.35
5.20,206.03,2.19,205.75,1.36,206.69,2.42
5.40,206.47,2.25,206.02,1.40,207.18,2.49
5.60,206.93,2.31,206.31,1.44,207.68,2.56
5.80,207.40,2.37,206.60,1.47,208.20,2.63
6.00,207.87,2.42,206.90,1.51,208.73,2.69
6.20,208.36,2.48,207.20,1.54,209.28,2.75
6.40,208.87,2.53,207.51,1.57,209.83,2.80
6.60,209.38,2.58,207.83,1.60,210.40,2.86
6.80,209.90,2.62,208.15,1.63,210.98,2.91
7.00,210.42,2.67,208.48,1.66,211.56,2.96
7.20,210.96,2.71,208.82,1.68,212.16,3.00
7.40,211.51,2.74,209.15,1.71,212.76,3.04
7.60,212.06,2.78,209.50,1.73,213.38,3.08
7.80,212.62,2.81,209.85,1.75,214.00,3.12
8.00,213.18,2.84,210.20,1.77,214.62,3.15
8.20,213.75,2.87,210.55,1.78,215.26,3.18
8.40,214.33,2.89,210.91,1.80,215.89,3.21
8.60,214.91,2.91,211.27,1.81,216.54,3.23
8.80,215.50,2.93,211.63,1.82,217.19,3.25
9.00,216.08,2.94,212.00,1.83,217.84,3.27
9.20,216.67,2.96,212.37,1.84,218.49,3.28
9.40,217.27,2.97,212.73,1.84,219.15,3.29
9.60,217.86,2.97,213.10,1.85,219.81,3.30
9.80,218.45,2.97,213.47,1.85,220.47,3.30
10.00,219.05,2.97,213.84,1.85,221.13,3.30
10.20,219.64,2.97,214.21,1.85,221.79,3.30
10.40,220.24,2.97,214.58,1.84,222.45,3.29
10.60,220.83,2.96,214.95,1.84,223.10,3.28
10.80,221.42,2.94,215.32,1.83,223.76,3.27
11.00,222.01,2.93,215.68,1.82,224.41,3.25
11.20,222.59,2.91,216.05,1.81,225.06,3.23
11.40,223.17,2.89,216.41,1.80,225.70,3.21
11.60,223.75,2.87,216.77,1.78,226.34,3.18
11.80,224.32,2.84,217.12,1.77,226.97,3.15
12.00,224.88,2.81,217.47,1.75,227.60,3.12
12.20,225.44,2.78,217.82,1.73,228.22,3.08
12.40,226.00,2.74,218.16,1.71,228.83,3.04
12.60,226.54,2.71,218.50,1.68,229.44,3.00
12.80,227.08,2.67,218.84,1.66,230.03,2.96
13.00,227.61,2.62,219.16,1.63,230.62,2.91
13.20,228.13,2.58,219.49,1.60,231.20,2.86
13.40,228.64,2.53,219.81,1.57,231.76,2.80
13.60,229.14,2.48,220.12,1.54,232.32,2.75
13.80,229.63,2.42,220.42,1.51,232.86,2.69
14.00,230.11,2.37,220.72,1.47,233.39,2.63
14.20,230.58,2.31,221.01,1.44,233.91,2.56
14.40,231.03,2.25,221.29,1.40,234.42,2.49
14.60,231.47,2.19,221.57,1.36,234.91,2.42
14.80,231.90,2.12,221.84,1.32,235.39,2.35
