phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,240.7433,245.6058,236.2103,7.8255,7.8255,18.0000
0.0101,240.6667,245.3209,236.0399,8.1170,8.1170,35.5668
0.0202,240.6070,245.1307,235.8302,8.4086,8.4086,53.1335
0.0303,240.5546,245.0924,235.5516,9.2706,9.2706,67.1484
0.0404,240.4603,245.2008,235.1867,10.1445,10.1445,81.0893
0.0505,240.2459,245.3885,234.7271,14.8647,14.8647,86.6827
0.0606,239.8298,245.5476,234.1704,19.7486,19.7486,91.9209
0.0707,239.1535,245.5639,233.5188,28.8754,28.8754,96.3751
0.0808,238.1975,245.3469,232.7786,38.2788,38.2788,100.7782
0.0909,236.9839,244.8447,231.9572,51.1680,51.1680,104.4162
0.1010,235.5650,244.0443,231.0662,64.3670,64.3670,107.9861
0.1111,234.0063,242.9655,230.1283,76.0408,76.0408,110.8104
0.1212,232.3708,241.6522,229.1834,87.5412,87.5412,113.5499
0.1313,230.7097,240.1658,228.2830,93.3345,93.3345,115.5629
0.1414,229.0590,238.5759,227.4728,98.3314,98.3314,117.4744
0.1515,227.4402,236.9543,226.7747,102.7881,102.7881,118.6784
0.1616,225.8605,235.3693,226.1780,107.1547,107.1547,119.7645
0.1717,224.3139,233.8845,225.6452,111.2880,111.2880,120.1689
0.1818,222.7843,232.5544,225.1272,115.3758,115.3758,120.4404
0.1919,221.2512,231.4173,224.5800,119.0857,119.0857,120.3339
0.2020,219.6961,230.4889,223.9770,122.7105,122.7105,120.1422
0.2121,218.1071,229.7618,223.3117,125.6065,125.6065,119.7540
0.2222,216.4795,229.2122,222.5941,128.3155,128.3155,119.3154
0.2323,214.8126,228.8107,221.8423,130.5360,130.5360,118.7199
0.2424,213.1061,228.5320,221.0758,132.6150,132.6150,118.0790
0.2525,211.3573,228.3589,220.3119,134.0110,134.0110,117.3189
0.2626,209.5649,228.2769,219.5661,135.1854,135.1854,116.5203
0.2727,207.7371,228.2572,218.8547,135.3014,135.3014,115.6086
0.2828,205.9038,228.2322,218.1981,135.0352,135.0352,114.6560
0.2929,204.1269,228.0774,217.6244,133.9404,133.9404,113.1520
0.3030,202.4985,227.6214,217.1693,132.5142,132.5142,111.4274
0.3131,201.1249,226.6934,216.8688,132.1921,132.1921,109.1723
0.3232,200.0939,225.2010,216.7443,132.3572,132.3572,106.6832
0.3333,200.0000,223.2022,216.7859,132.1899,132.1899,103.8488
0.3434,200.0000,220.9300,216.9435,131.8614,131.8614,100.8471
0.3535,200.0000,218.7468,217.1336,126.8610,126.8610,97.1621
0.3636,200.0000,217.0421,217.2625,119.3782,119.3782,93.1141
0.3737,200.0000,216.1148,217.2607,107.7921,107.7921,88.0369
0.3838,200.1479,216.0847,217.1154,93.8231,93.8231,82.3620
0.3939,201.0158,216.8628,216.8884,80.0257,80.0257,74.1665
0.4040,202.3044,218.1921,216.7046,66.3370,66.3370,64.3744
0.4141,204.0403,219.7422,216.7113,56.0464,56.0464,52.7232
0.4242,206.1453,221.2192,217.0203,48.0996,48.0996,39.7895
0.4343,208.4536,222.4437,217.6623,42.8740,42.8740,27.3891
0.4444,210.7652,223.3699,218.5764,39.6894,39.6894,15.3886
0.4545,212.9026,224.0533,219.6412,37.0078,37.0078,10.0113
0.4646,214.7469,224.5914,220.7272,34.7360,34.7360,10.0317
0.4747,216.2508,225.0692,221.7414,32.4428,32.4428,10.0715
0.4848,217.4351,225.5302,222.6458,30.1305,30.1305,10.1287
0.4949,218.3716,225.9799,223.4489,27.7765,27.7765,10.2014
0.5051,219.1590,226.4085,224.1829,25.3821,25.3821,10.2890
0.5152,219.8923,226.8125,224.8769,23.1959,23.1959,10.3884
0.5253,220.6378,227.2027,225.5412,21.2264,21.2264,10.5003
0.5354,221.4212,227.5987,226.1699,19.3097,19.3097,10.6206
0.5455,222.2324,228.0194,226.7540,17.4528,17.4528,10.7504
0.5556,223.0426,228.4763,227.2924,15.7917,15.7917,10.8854
0.5657,223.8217,228.9716,227.7914,14.3712,14.3712,11.0270
0.5758,224.5502,229.4996,228.2564,13.0929,13.0929,11.1709
0.5859,225.2223,230.0482,228.6873,12.0043,12.0043,11.3179
0.5960,225.8427,230.6004,229.0791,11.0799,11.0799,11.4646
0.6061,226.4211,231.1362,229.4287,10.3937,10.3937,11.6108
0.6162,226.9674,231.6362,229.7391,9.6977,9.6977,11.7543
0.6263,227.4901,232.0857,230.0204,8.9864,8.9864,11.8935
0.6364,227.9956,232.4803,230.2860,8.5281,8.5281,12.0279
0.6465,228.4892,232.8287,230.5493,8.5055,8.5055,12.1540
0.6566,228.9751,233.1498,230.8191,8.4557,8.4557,12.2776
0.6667,229.4555,233.4637,231.0978,8.3548,8.3548,12.3965
