phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,234.5460,245.3559,233.3159,12.7851,12.7851,18.0000
0.0101,234.3905,245.2678,233.1486,13.6670,13.6670,35.5668
0.0202,234.2090,245.2012,232.9264,14.5490,14.5490,53.1335
0.0303,233.9820,245.1656,232.6106,16.9118,16.9118,67.1484
0.0404,233.6975,245.1476,232.1871,19.3054,19.3054,81.0893
0.0505,233.3481,245.1089,231.6642,25.0779,25.0779,86.6827
0.0606,232.9262,244.9920,231.0628,30.9943,30.9943,91.9209
0.0707,232.4200,244.7313,230.4038,40.2813,40.2813,96.3751
0.0808,231.8139,244.2674,229.6990,49.7882,49.7882,100.7782
0.0909,231.0919,243.5599,228.9516,61.1499,61.1499,104.4162
0.1010,230.2434,242.5980,228.1615,72.6766,72.6766,107.9861
0.1111,229.2673,241.4054,227.3334,79.9927,79.9927,110.8104
0.1212,228.1745,240.0406,226.4803,86.8303,86.8303,113.5499
0.1313,226.9861,238.5892,225.6213,90.8393,90.8393,115.5629
0.1414,225.7304,237.1490,224.7762,94.4536,94.4536,117.4744
0.1515,224.4373,235.8090,223.9604,97.3424,97.3424,118.6784
0.1616,223.1339,234.6285,223.1807,100.1102,100.1102,119.7645
0.1717,221.8404,233.6254,222.4326,102.7492,102.7492,120.1689
0.1818,220.5680,232.7797,221.7031,105.3631,105.3631,120.4404
0.1919,219.3175,232.0506,220.9770,108.1534,108.1534,120.3339
0.2020,218.0795,231.3982,220.2456,110.9833,110.9833,120.1422
0.2121,216.8353,230.7959,219.5099,112.6867,112.6867,119.7540
0.2222,215.5592,230.2319,218.7785,114.1013,114.1013,119.3154
0.2323,214.2223,229.7026,218.0623,115.6884,115.6884,118.7199
0.2424,212.7987,229.2042,217.3708,117.3255,117.3255,118.0790
0.2525,211.2728,228.7265,216.7117,118.9685,118.9685,117.3189
0.2626,209.6478,228.2498,216.0923,120.6135,120.6135,116.5203
0.2727,207.9510,227.7461,215.5213,122.3473,122.3473,115.6086
0.2828,206.2356,227.1846,215.0084,124.1131,124.1131,114.6560
0.2929,204.5770,226.5399,214.5622,125.1810,125.1810,113.1520
0.3030,203.0632,225.8006,214.1868,125.9696,125.9696,111.4274
0.3131,201.7833,224.9761,213.8782,125.4391,125.4391,109.1723
0.3232,200.8152,224.0993,213.6242,124.3265,124.3265,106.6832
0.3333,200.2177,223.2255,213.4088,122.2396,122.2396,103.8488
0.3434,200.0260,222.4275,213.2184,119.6801,119.6801,100.8471
0.3535,200.2508,221.7868,213.0500,113.6125,113.6125,97.1621
0.3636,200.8786,221.3791,212.9153,105.6809,105.6809,93.1141
0.3737,201.8717,221.2570,212.8406,94.8795,94.8795,88.0369
0.3838,203.1682,221.4353,212.8602,82.4115,82.4115,82.3620
0.3939,204.6846,221.8850,213.0079,70.4990,70.4990,74.1665
0.4040,206.3223,222.5420,213.3093,58.9385,58.9385,64.3744
0.4141,207.9786,223.3265,213.7779,49.2056,49.2056,52.7232
