Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.05,202.00,0.05,200.00,0.05
0.20,200.01,0.10,202.01,0.11,200.01,0.09
0.40,200.04,0.20,202.04,0.21,200.04,0.18
0.60,200.09,0.31,202.10,0.32,200.08,0.27
0.80,200.16,0.41,202.17,0.43,200.15,0.36
1.00,200.25,0.51,202.27,0.53,200.23,0.45
1.20,200.37,0.61,202.38,0.64,200.33,0.54
1.40,200.50,0.71,202.52,0.74,200.44,0.63
1.60,200.65,0.81,202.68,0.85,200.58,0.72
1.80,200.82,0.91,202.86,0.95,200.73,0.81
2.00,201.01,1.00,203.06,1.05,200.90,0.89
2.20,201.22,1.10,203.28,1.15,201.09,0.98
2.40,201.45,1.20,203.52,1.25,201.29,1.06
2.60,201.70,1.29,203.78,1.35,201.51,1.15
2.80,201.97,1.38,204.06,1.45,201.75,1.23
3.00,202.26,1.48,204.36,1.55,202.01,1.31
3.20,202.56,1.57,204.68,1.64,202.28,1.39
3.40,202.88,1.65,205.02,1.73,202.56,1.47
3.60,203.22,1.74,205.37,1.82,202.86,1.55
3.80,203.58,1.83,205.75,1.91,203.18,1.62
4.00,203.95,1.91,206.14,2.00,203.51,1.70
4.20,204.34,1.99,206.55,2.08,203.86,1.77
4.40,204.75,2.07,206.97,2.17,204.22,1.84
4.60,205.17,2.15,207.42,2.25,204.60,1.91
4.80,205.61,2.22,207.87,2.33,204.99,1.98
5.00,206.06,2.29,208.35,2.40,205.39,2.04
5.20,206.52,2.37,208.83,2.48,205.80,2.10
5.40,207.00,2.43,209.34,2.55,206.23,2.16
5.60,207.50,2.50,209.85,2.62,206.67,2.22
5.80,208.00,2.56,210.38,2.68,207.12,2.28
6.00,208.52,2.62,210.93,2.75,207.58,2.33
6.20,209.05,2.68,211.48,2.81,208.05,2.38
6.40,209.60,2.74,212.05,2.87,208.53,2.43
6.60,210.15,2.79,212.63,2.92,209.02,2.48
6.80,210.71,2.84,213.22,2.97,209.52,2.52
7.00,211.28,2.88,213.82,3.02,210.03,2.56
7.20,211.86,2.93,214.43,3.07,210.55,2.60
7.40,212.45,2.97,215.05,3.11,211.07,2.64
7.60,213.05,3.01,215.67,3.15,211.61,2.67
7.80,213.66,3.04,216.31,3.19,212.14,2.71
8.00,214.27,3.07,216.95,3.22,212.69,2.73
8.20,214.89,3.10,217.59,3.25,213.24,2.76
8.40,215.51,3.13,218.25,3.28,213.79,2.78
8.60,216.14,3.15,218.90,3.30,214.35,2.80
8.80,216.77,3.17,219.57,3.32,214.91,2.82
9.00,217.41,3.19,220.23,3.34,215.48,2.83
9.20,218.05,3.20,220.90,3.35,216.04,2.85
9.40,218.69,3.21,221.57,3.36,216.61,2.85
9.60,219.33,3.22,222.25,3.37,217.19,2.86
9.80,219.97,3.22,222.92,3.37,217.76,2.86
10.00,220.62,3.22,223.60,3.37,218.33,2.86
10.20,221.26,3.22,224.27,3.37,218.90,2.86
10.40,221.90,3.21,224.94,3.36,219.48,2.85
10.60,222.55,3.20,225.61,3.35,220.05,2.85
10.80,223.18,3.19,226.28,3.34,220.61,2.83
11.00,223.82,3.17,226.95,3.32,221.18,2.82
11.20,224.45,3.15,227.61,3.30,221.74,2.80
11.40,225.08,3.13,228.27,3.28,222.30,2.78
11.60,225.70,3.10,228.92,3.25,222.85,2.76
11.80,226.32,3.07,229.57,3.22,223.40,2.73
12.00,226.93,3.04,230.21,3.19,223.95,2.71
12.20,227.54,3.01,230.85,3.15,224.49,2.67
12.40,228.14,2.97,231.47,3.11,225.02,2.64
12.60,228.73,2.93,232.09,3.07,225.54,2.60
12.80,229.31,2.88,232.70,3.02,226.06,2.56
13.00,229.88,2.84,233.30,2.97,226.57,2.52
13.20,230.44,2.79,233.89,2.92,227.07,2.48
13.40,231.00,2.74,234.47,2.87,227.56,2.43
13.60,231.54,2.68,235.03,2.81,228.04,2.38
13.80,232.07,2.62,235.59,2.75,228.51,2.33
14.00,232.59,2.56,236.13,2.68,228.97,2.28
14.20,233.09,2.50,236.66,2.62,229.42,2.22
14.40,233.59,2.43,237.18,2.55,229.86,2.16
14.60,234.07,2.37,237.68,2.48,230.29,2.10
14.80,234.53,2.29,238.17,2.40,230.70,2.04
15.00,234.98,2.22,238.64,2.33,231.10,1.98
15.20,235.42,2.15,239.10,2.25,231.49,1.91
15.40,235.84,2.07,239.54,2.17,231.87,1.84
15.60,236.25,1.99,239.97,2.08,232.23,1.77
15.80,236.64,1.91,240.38,2.00,232.58,1.70
16.00,237.01,1.83,240.77,1.91,232.91,1.62
16.20,237.37,1.74,241.14,1.82,233.23,1.55
16.40,237.71,1.65,241.50,1.73,233.53,1.47
16.60,238.03,1.57,241.83,1.64,233.81,1.39
16.80,238.34,1.48,242.15,1.55,234.08,1.31
17.00,238.62,1.38,242.45,1.45,234.34,1.23
17.20,238.89,1.29,242.73,1.35,234.58,1.15
17.40,239.14,1.20,242.99,1.25,234.80,1.06
17.60,239.37,1.10,243.23,1.15,235.00,0.98
17.80,239.58,1.00,243.46,1.05,235.19,0.89
18.00,239.77,0.91,243.66,0.95,235.36,0.81
18.20,239.94,0.81,243.84,0.85,235.51,0.72
18.40,240.09,0.71,243.99,0.74,235.65,0.63
18.60,240.23,0.61,244.13,0.64,235.76,0.54
18.80,240.34,0.51,244.25,0.53,235.86,0.45
19.00,240.43,0.41,244.35,0.43,235.94,0.36
19.20,240.50,0.31,244.42,0.32,236.01,0.27
19.40,240.55,0.20,244.47,0.21,236.05,0.18
19.60,240.58,0.10,244.51,0.11,236.08,0.09
19.80,240.59,0.03,244.52,0.03,236.09,0.02
20.00,240.59,-0.20,244.52,-0.86,236.09,-0.51
20.20,240.51,-0.35,244.17,-1.39,235.89,-1.11
20.40,240.45,-0.30,243.96,-0.54,235.65,-1.36
20.60,240.39,-0.40,243.96,0.51,235.34,-1.68
20.80,240.29,-0.83,244.16,1.35,234.97,-2.02
21.00,240.06,-1.67,244.49,1.62,234.53,-2.38
21.20,239.62,-2.86,244.81,1.18,234.02,-2.80
