Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.04,202.00,0.05,200.00,0.04
0.20,200.01,0.09,202.01,0.11,200.01,0.08
0.40,200.03,0.17,202.04,0.22,200.03,0.17
0.60,200.08,0.26,202.10,0.33,200.08,0.25
0.80,200.14,0.35,202.17,0.44,200.13,0.33
1.00,200.22,0.43,202.27,0.54,200.21,0.42
1.20,200.31,0.52,202.39,0.65,200.30,0.50
1.40,200.42,0.60,202.53,0.76,200.41,0.58
1.60,200.55,0.69,202.69,0.86,200.53,0.66
1.80,200.70,0.77,202.88,0.97,200.67,0.74
2.00,200.86,0.86,203.08,1.07,200.83,0.82
2.20,201.04,0.94,203.31,1.18,201.00,0.90
2.40,201.24,1.02,203.55,1.28,201.19,0.98
2.60,201.45,1.10,203.82,1.38,201.40,1.06
2.80,201.68,1.18,204.10,1.48,201.62,1.14
3.00,201.92,1.26,204.41,1.58,201.85,1.21
3.20,202.18,1.33,204.73,1.67,202.10,1.28
3.40,202.45,1.41,205.08,1.77,202.37,1.36
3.60,202.74,1.48,205.44,1.86,202.64,1.43
3.80,203.05,1.55,205.82,1.95,202.94,1.50
4.00,203.36,1.62,206.22,2.04,203.24,1.57
4.20,203.70,1.69,206.64,2.13,203.56,1.63
4.40,204.04,1.76,207.07,2.21,203.90,1.70
4.60,204.40,1.83,207.52,2.29,204.24,1.76
4.80,204.77,1.89,207.99,2.37,204.60,1.82
5.00,205.16,1.95,208.47,2.45,204.97,1.88
5.20,205.55,2.01,208.97,2.53,205.36,1.94
5.40,205.96,2.07,209.48,2.60,205.75,2.00
5.60,206.38,2.13,210.01,2.67,206.15,2.05
5.80,206.81,2.18,210.55,2.74,206.57,2.10
6.00,207.25,2.23,211.10,2.80,207.00,2.15
6.20,207.71,2.28,211.67,2.86,207.43,2.20
6.40,208.17,2.33,212.25,2.92,207.88,2.25
6.60,208.64,2.37,212.84,2.98,208.33,2.29
6.80,209.12,2.42,213.44,3.03,208.79,2.33
7.00,209.60,2.46,214.05,3.08,209.26,2.37
7.20,210.10,2.49,214.67,3.13,209.74,2.40
7.40,210.60,2.53,215.30,3.17,210.22,2.44
7.60,211.11,2.56,215.94,3.21,210.71,2.47
7.80,211.62,2.59,216.59,3.25,211.21,2.50
8.00,212.14,2.62,217.24,3.28,211.71,2.52
8.20,212.67,2.64,217.90,3.31,212.22,2.55
8.40,213.20,2.66,218.57,3.34,212.73,2.57
8.60,213.74,2.68,219.24,3.37,213.25,2.59
8.80,214.27,2.70,219.91,3.39,213.77,2.60
9.00,214.81,2.71,220.59,3.40,214.29,2.62
9.20,215.36,2.72,221.28,3.42,214.81,2.63
9.40,215.90,2.73,221.96,3.43,215.34,2.63
9.60,216.45,2.74,222.65,3.44,215.87,2.64
9.80,217.00,2.74,223.33,3.44,216.39,2.64
10.00,217.55,2.74,224.02,3.44,216.92,2.64
10.20,218.09,2.74,224.71,3.44,217.45,2.64
10.40,218.64,2.73,225.40,3.43,217.98,2.63
10.60,219.19,2.72,226.08,3.42,218.50,2.63
10.80,219.73,2.71,226.76,3.40,219.03,2.62
11.00,220.27,2.70,227.44,3.39,219.55,2.60
11.20,220.81,2.68,228.12,3.37,220.07,2.59
11.40,221.35,2.66,228.79,3.34,220.59,2.57
11.60,221.88,2.64,229.45,3.31,221.10,2.55
11.80,222.40,2.62,230.11,3.28,221.60,2.52
12.00,222.92,2.59,230.77,3.25,222.11,2.50
12.20,223.44,2.56,231.41,3.21,222.60,2.47
12.40,223.95,2.53,232.05,3.17,223.09,2.44
12.60,224.45,2.49,232.68,3.13,223.58,2.40
12.80,224.94,2.46,233.30,3.08,224.06,2.37
13.00,225.43,2.42,233.92,3.03,224.52,2.33
13.20,225.91,2.37,234.52,2.98,224.99,2.29
13.40,226.38,2.33,235.11,2.92,225.44,2.25
13.60,226.84,2.28,235.69,2.86,225.89,2.20
13.80,227.29,2.23,236.25,2.80,226.32,2.15
14.00,227.73,2.18,236.81,2.74,226.75,2.10
14.20,228.16,2.13,237.35,2.67,227.16,2.05
14.40,228.58,2.07,237.87,2.60,227.57,2.00
14.60,228.99,2.01,238.39,2.53,227.96,1.94
14.80,229.39,1.95,238.88,2.45,228.34,1.88
15.00,229.77,1.89,239.37,2.37,228.71,1.82
15.20,230.15,1.83,239.83,2.29,229.07,1.76
15.40,230.50,1.76,240.28,2.21,229.42,1.70
15.60,230.85,1.69,240.72,2.13,229.75,1.63
15.80,231.18,1.62,241.13,2.04,230.07,1.57
16.00,231.50,1.55,241.53,1.95,230.38,1.50
16.20,231.80,1.48,241.91,1.86,230.67,1.43
