phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,242.0654,244.6178,234.4295,78.4687,78.4687,8.0000
0.0204,239.5863,243.0258,232.4112,92.2768,92.2768,53.4921
0.0408,237.0878,241.6366,230.4505,107.1926,107.1926,81.6583
0.0612,234.5922,240.4862,228.6311,124.8597,124.8597,92.2417
0.0816,232.1331,239.4172,227.0370,136.8660,136.8660,101.1377
0.1020,229.7005,238.1910,225.6985,143.0898,143.0898,108.3504
0.1224,227.2173,236.6555,224.5530,148.2588,148.2588,113.8854
0.1429,224.5667,234.8545,223.4530,153.5938,153.5938,117.7476
0.1633,221.6386,233.0328,222.2184,156.9765,156.9765,119.9418
0.1837,218.3673,231.5614,220.7160,158.2816,158.2816,120.4903
0.2041,214.7616,230.8058,218.9348,157.0822,157.0822,120.1031
0.2245,210.9307,230.9440,217.0214,154.3593,154.3593,119.2170
0.2449,207.0922,231.7990,215.2418,152.7332,152.7332,117.9220
0.2653,203.5471,232.8177,213.8679,152.3846,152.3846,116.3084
0.2857,200.6212,233.2715,213.0480,154.0418,154.0418,114.3838
0.3061,200.0000,232.5763,212.7519,151.3617,151.3617,110.8994
0.3265,200.0000,230.5433,212.8397,135.5793,135.5793,105.8703
0.3469,200.0000,227.4460,213.2063,114.9294,114.9294,99.8056
0.3673,200.2566,223.9107,213.8825,98.0161,98.0161,91.6269
0.3878,203.7287,220.7060,215.0051,83.4985,83.4985,80.1613
0.4082,208.3251,218.5135,216.6894,67.4222,67.4222,60.3772
0.4286,213.4354,217.7577,218.9145,42.5013,42.5013,34.2460
0.4490,218.3814,218.5493,221.5018,19.1982,19.1982,12.0000
0.4694,222.6540,220.7408,224.1755,9.4068,9.4068,5.8007
0.4898,226.0318,224.0162,226.6507,7.2058,7.2058,5.0012
0.5102,228.5472,227.9498,228.7049,6.8096,6.8096,5.0041
0.5306,230.3682,232.0475,230.2172,6.9761,6.9761,5.0097
0.5510,231.6878,235.8222,231.1744,7.3958,7.3958,5.0190
0.5714,232.6668,238.8998,231.6555,7.4296,7.4296,5.0329
0.5918,233.4237,241.0999,231.8022,7.3104,7.3104,5.0523
0.6122,234.0430,242.4475,231.7801,7.4051,7.4051,5.0780
0.6327,234.5812,243.1121,231.7366,7.6106,7.6106,5.1111
0.6531,235.0679,243.3123,231.7650,7.8731,7.8731,5.1524
0.6735,235.5090,243.2412,231.8901,7.8623,7.8623,5.2028
0.6939,235.8937,243.0443,232.0764,8.1261,8.1261,5.2633
0.7143,236.2063,242.8384,232.2543,8.5971,8.5971,5.3348
0.7347,236.4371,242.7351,232.3546,8.3494,8.3494,5.4182
0.7551,236.5950,242.8431,232.3410,8.3679,8.3679,5.5144
0.7755,236.7165,243.2385,232.2335,8.0713,8.0713,5.6242
0.7959,236.8672,243.9173,232.1125,7.9826,7.9826,5.7488
0.8163,237.1277,244.7645,232.0977,8.1424,8.1424,5.8888
0.8367,237.5619,245.5836,232.3009,8.2823,8.2823,6.0454
0.8571,238.1834,246.1862,232.7702,8.0482,8.0482,6.2193
0.8776,238.9428,246.4865,233.4561,8.4809,8.4809,6.4115
0.8980,239.7464,246.5335,234.2186,9.2765,9.2765,6.6229
0.9184,240.4947,246.4685,234.8737,10.5332,10.5332,6.8544
0.9388,241.1170,246.4482,235.2566,23.9599,23.9599,7.1070
0.9592,241.5869,246.5770,235.2821,43.2107,43.2107,7.3815
0.9796,241.9241,246.8730,234.9788,60.6659,60.6659,7.6789
1.0000,242.1844,247.2726,234.4815,63.3835,63.3835,8.0000
