Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.09,202.00,0.11,200.00,0.08
0.40,200.04,0.19,202.05,0.23,200.03,0.17
0.80,200.15,0.38,202.18,0.46,200.13,0.33
1.20,200.34,0.56,202.41,0.68,200.30,0.49
1.60,200.60,0.75,202.73,0.90,200.53,0.65
2.00,200.94,0.93,203.13,1.12,200.82,0.81
2.40,201.34,1.10,203.63,1.34,201.18,0.97
2.80,201.82,1.28,204.20,1.55,201.59,1.12
3.20,202.36,1.44,204.86,1.75,202.07,1.27
3.60,202.97,1.60,205.60,1.94,202.61,1.41
4.00,203.65,1.76,206.42,2.13,203.20,1.54
4.40,204.38,1.91,207.31,2.31,203.84,1.67
4.80,205.17,2.05,208.27,2.48,204.54,1.79
5.20,206.02,2.18,209.29,2.64,205.28,1.91
5.60,206.91,2.30,210.38,2.79,206.06,2.02
6.00,207.86,2.41,211.52,2.92,206.89,2.12
6.40,208.84,2.51,212.71,3.05,207.75,2.21
6.80,209.87,2.61,213.96,3.16,208.65,2.29
7.20,210.93,2.69,215.24,3.26,209.58,2.36
7.60,212.02,2.76,216.56,3.34,210.54,2.42
8.00,213.14,2.82,217.92,3.42,211.52,2.47
8.40,214.28,2.87,219.30,3.47,212.52,2.51
8.80,215.43,2.90,220.70,3.52,213.53,2.55
9.20,216.60,2.93,222.11,3.55,214.56,2.57
9.60,217.77,2.94,223.53,3.56,215.59,2.58
10.00,218.95,2.94,224.96,3.56,216.62,2.58
10.40,220.12,2.93,226.38,3.55,217.65,2.57
10.80,221.29,2.90,227.80,3.52,218.67,2.55
11.20,222.45,2.87,229.20,3.47,219.68,2.51
11.60,223.59,2.82,230.58,3.42,220.68,2.47
12.00,224.70,2.76,231.93,3.34,221.66,2.42
12.40,225.79,2.69,233.25,3.26,222.62,2.36
12.80,226.85,2.61,234.54,3.16,223.55,2.29
13.20,227.88,2.51,235.78,3.05,224.45,2.21
13.60,228.87,2.41,236.97,2.92,225.31,2.12
14.00,229.81,2.30,238.12,2.79,226.14,2.02
14.40,230.71,2.18,239.20,2.64,226.93,1.91
14.80,231.55,2.05,240.23,2.48,227.67,1.79
15.20,232.34,1.91,241.18,2.31,228.36,1.67
15.60,233.08,1.76,242.07,2.13,229.01,1.54
16.00,233.75,1.60,242.89,1.94,229.60,1.41
16.40,234.36,1.44,243.63,1.75,230.13,1.27
16.80,234.90,1.28,244.29,1.55,230.61,1.12
17.20,235.38,1.10,244.87,1.34,231.03,0.97
17.60,235.79,0.93,245.36,1.12,231.38,0.81
18.00,236.12,0.75,245.76,0.90,231.68,0.65
18.40,236.38,0.56,246.08,0.68,231.91,0.49
18.80,236.57,0.38,246.31,0.46,232.07,0.33
19.20,236.68,0.19,246.45,0.23,232.17,0.17
19.60,236.72,0.05,246.49,0.06,232.20,0.04
20.00,236.72,-0.84,246.49,-1.16,232.20,-1.13
