phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,240.6393,241.4381,234.6640,13.4991,13.4991,3.0000
0.0101,240.6983,241.6799,234.6164,14.4043,14.4043,0.7267
0.0202,240.7133,241.8398,234.5238,15.3095,15.3095,3.4437
0.0303,240.6398,241.8278,234.3424,19.7764,19.7764,9.0941
0.0404,240.4389,241.5705,234.0405,24.3176,24.3176,15.6210
0.0505,240.0916,241.0551,233.6147,30.2882,30.2882,21.5149
0.0606,239.6078,240.3445,233.0925,36.3197,36.3197,27.7421
0.0707,239.0228,239.5364,232.5136,42.6321,42.6321,35.5313
0.0808,238.3834,238.7083,231.9119,48.9628,48.9628,44.0129
0.0909,237.7335,237.8979,231.3128,54.2737,54.2737,51.9082
0.1010,237.1044,237.1220,230.7391,59.4939,59.4939,59.0701
0.1111,236.5125,236.3992,230.2070,61.3952,61.3952,65.6622
0.1212,235.9618,235.7540,229.7186,62.9192,62.9192,71.5767
0.1313,235.4480,235.2042,229.2650,64.5076,64.5076,76.6529
0.1414,234.9626,234.7498,228.8345,66.1049,66.1049,80.9571
0.1515,234.4963,234.3757,228.4165,67.0945,67.0945,84.6174
0.1616,234.0409,234.0650,228.0017,67.9828,67.9828,87.6401
0.1717,233.5902,233.8074,227.5863,68.5313,68.5313,90.0058
0.1818,233.1405,233.5969,227.1779,69.0135,69.0135,91.8315
0.1919,232.6911,233.4211,226.7916,70.1218,70.1218,93.2696
0.2020,232.2437,233.2536,226.4409,71.3709,71.3709,94.3339
0.2121,231.8026,233.0610,226.1294,72.4631,72.4631,94.9995
0.2222,231.3723,232.8174,225.8518,73.5151,73.5151,95.3925
0.2323,230.9573,232.5147,225.6018,74.5285,74.5285,95.6913
0.2424,230.5607,232.1525,225.3788,75.5307,75.5307,95.9446
0.2525,230.1844,231.7182,225.1872,76.7644,76.7644,96.1420
0.2626,229.8288,231.1840,225.0309,78.0732,78.0732,96.3022
0.2727,229.4930,230.5324,224.9107,79.2245,79.2245,96.4487
0.2828,229.1749,229.7808,224.8257,80.3189,80.3189,96.5131
0.2929,228.8724,228.9715,224.7747,81.0368,81.0368,96.3906
0.3030,228.5843,228.1461,224.7565,81.6040,81.6040,96.1033
0.3131,228.3108,227.3396,224.7676,81.6786,81.6786,95.7340
0.3232,228.0518,226.5927,224.7998,81.5358,81.5358,95.2394
0.3333,227.8041,225.9532,224.8413,81.1705,81.1705,94.5038
0.3434,227.5595,225.4645,224.8819,80.6974,80.6974,93.4539
0.3535,227.3099,225.1604,224.9217,79.6372,79.6372,92.0254
0.3636,227.0605,225.0711,224.9759,78.2650,78.2650,89.9307
0.3737,226.8444,225.2278,225.0722,73.7894,73.7894,86.8080
0.3838,226.7276,225.6562,225.2424,67.5116,67.5116,83.2974
0.3939,226.7914,226.3637,225.5113,57.9761,57.9761,80.3678
0.4040,227.0986,227.3240,225.8864,46.3770,46.3770,73.5782
0.4141,227.6575,228.4666,226.3498,35.9777,35.9777,55.2495
0.4242,228.4089,229.6936,226.8586,26.4058,26.4058,30.0558
0.4343,229.2444,230.9286,227.3597,19.2863,19.2863,11.8402
0.4444,230.0507,232.1685,227.8114,14.0064,14.0064,4.2596
0.4545,230.7545,233.4863,228.1956,10.5212,10.5212,2.3914
0.4646,231.3466,234.9723,228.5146,8.4987,8.4987,2.7005
0.4747,231.8709,236.6555,228.7821,7.4910,7.4910,3.1607
0.4848,232.3892,238.4618,229.0197,7.3813,7.3813,3.0840
0.4949,232.9441,240.2333,229.2592,7.2397,7.2397,2.9576
0.5051,233.5401,241.7908,229.5385,7.0675,7.0675,2.9765
0.5152,234.1490,242.9931,229.8840,6.9399,6.9399,3.0111
0.5253,234.7296,243.7700,230.2897,6.8588,6.8588,3.0066
0.5354,235.2487,244.1322,230.7161,6.8779,6.8779,2.9971
0.5455,235.6902,244.1627,231.1140,7.0102,7.0102,2.9982
0.5556,236.0541,243.9882,231.4504,7.1603,7.1603,3.0008
0.5657,236.3500,243.7367,231.7185,7.3322,7.3322,3.0005
0.5758,236.5910,243.5012,231.9303,7.5974,7.5974,2.9998
0.5859,236.7914,243.3239,232.1032,7.9867,7.9867,2.9999
0.5960,236.9655,243.2032,232.2524,8.3546,8.3546,3.0001
0.6061,237.1262,243.1128,232.3900,8.6916,8.6916,3.0000
0.6162,237.2825,243.0221,232.5247,8.9493,8.9493,3.0000
0.6263,237.4387,242.9110,232.6599,9.0820,9.0820,3.0000
0.6364,237.5943,242.7763,232.7929,9.4218,9.4218,3.0000
0.6465,237.7461,242.6292,232.9188,10.1187,10.1187,3.0000
0.6566,237.8910,242.4871,233.0340,10.5498,10.5498,3.0000
0.6667,238.0270,242.3645,233.1382,10.4811,10.4811,3.0000
0.6768,238.1540,242.2672,233.2332,10.6091,10.6091,3.0000
0.6869,238.2730,242.1907,233.3209,11.1429,11.1429,3.0000
0.6970,238.3854,242.1257,233.4030,11.6076,11.6076,3.0000
0.7071,238.4922,242.0639,233.4808,11.9161,11.9161,3.0000
0.7172,238.5936,242.0044,233.5554,12.2249,12.2249,3.0000
0.7273,238.6900,241.9541,233.6282,12.5342,12.5342,3.0000
0.7374,238.7814,241.9226,233.7007,12.8787,12.8787,3.0000
0.7475,238.8684,241.9138,233.7744,13.3207,13.3207,3.0000
0.7576,238.9514,241.9193,233.8524,13.6517,13.6517,3.0000
