Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.05,202.00,0.05,200.00,0.04
0.20,200.01,0.10,202.01,0.10,200.01,0.09
0.40,200.04,0.20,202.04,0.20,200.03,0.17
0.60,200.09,0.31,202.09,0.30,200.08,0.26
0.80,200.16,0.41,202.16,0.40,200.14,0.35
1.00,200.26,0.51,202.25,0.49,200.22,0.43
1.20,200.37,0.61,202.36,0.59,200.31,0.52
1.40,200.50,0.71,202.48,0.69,200.43,0.61
1.60,200.65,0.81,202.63,0.79,200.56,0.69
1.80,200.82,0.91,202.80,0.88,200.70,0.77
2.00,201.01,1.01,202.98,0.98,200.87,0.86
2.20,201.23,1.10,203.19,1.07,201.05,0.94
2.40,201.46,1.20,203.41,1.16,201.24,1.02
2.60,201.70,1.29,203.65,1.25,201.45,1.10
2.80,201.97,1.39,203.91,1.34,201.68,1.18
3.00,202.26,1.48,204.19,1.43,201.93,1.26
3.20,202.56,1.57,204.49,1.52,202.19,1.34
3.40,202.89,1.66,204.80,1.61,202.46,1.41
3.60,203.23,1.74,205.13,1.69,202.75,1.49
3.80,203.58,1.83,205.48,1.77,203.06,1.56
4.00,203.96,1.91,205.84,1.85,203.38,1.63
4.20,204.35,1.99,206.22,1.93,203.71,1.70
4.40,204.75,2.07,206.61,2.01,204.05,1.77
4.60,205.18,2.15,207.02,2.09,204.42,1.83
4.80,205.61,2.22,207.45,2.16,204.79,1.90
5.00,206.07,2.30,207.89,2.23,205.17,1.96
5.20,206.53,2.37,208.34,2.30,205.57,2.02
5.40,207.01,2.44,208.81,2.36,205.98,2.08
5.60,207.51,2.50,209.29,2.43,206.40,2.13
5.80,208.01,2.57,209.78,2.49,206.84,2.19
6.00,208.53,2.63,210.28,2.55,207.28,2.24
6.20,209.06,2.68,210.80,2.60,207.73,2.29
6.40,209.61,2.74,211.32,2.66,208.19,2.34
6.60,210.16,2.79,211.86,2.71,208.67,2.38
6.80,210.72,2.84,212.41,2.76,209.15,2.42
7.00,211.30,2.89,212.96,2.80,209.64,2.46
7.20,211.88,2.93,213.53,2.85,210.13,2.50
7.40,212.47,2.97,214.10,2.89,210.64,2.54
7.60,213.07,3.01,214.68,2.92,211.15,2.57
7.80,213.67,3.05,215.27,2.96,211.66,2.60
8.00,214.29,3.08,215.86,2.99,212.19,2.63
8.20,214.90,3.11,216.46,3.02,212.71,2.65
8.40,215.53,3.13,217.07,3.04,213.25,2.67
8.60,216.16,3.16,217.68,3.06,213.78,2.69
8.80,216.79,3.17,218.29,3.08,214.32,2.71
9.00,217.43,3.19,218.91,3.10,214.87,2.72
9.20,218.07,3.20,219.53,3.11,215.41,2.73
9.40,218.71,3.21,220.16,3.12,215.96,2.74
9.60,219.35,3.22,220.78,3.12,216.51,2.75
9.80,220.00,3.22,221.41,3.13,217.06,2.75
10.00,220.64,3.22,222.03,3.13,217.61,2.75
10.20,221.29,3.22,222.66,3.12,218.16,2.75
10.40,221.93,3.21,223.28,3.12,218.71,2.74
10.60,222.57,3.20,223.90,3.11,219.25,2.73
10.80,223.21,3.19,224.53,3.10,219.80,2.72
11.00,223.85,3.17,225.14,3.08,220.34,2.71
11.20,224.48,3.16,225.76,3.06,220.88,2.69
11.40,225.11,3.13,226.37,3.04,221.42,2.67
11.60,225.73,3.11,226.97,3.02,221.95,2.65
11.80,226.35,3.08,227.57,2.99,222.48,2.63
12.00,226.97,3.05,228.17,2.96,223.00,2.60
12.20,227.57,3.01,228.76,2.92,223.52,2.57
12.40,228.17,2.97,229.34,2.89,224.03,2.54
12.60,228.76,2.93,229.91,2.85,224.53,2.50
12.80,229.34,2.89,230.48,2.80,225.03,2.46
13.00,229.92,2.84,231.03,2.76,225.52,2.42
13.20,230.48,2.79,231.58,2.71,226.00,2.38
13.40,231.03,2.74,232.12,2.66,226.47,2.34
13.60,231.58,2.68,232.64,2.60,226.93,2.29
13.80,232.11,2.63,233.16,2.55,227.39,2.24
14.00,232.63,2.57,233.66,2.49,227.83,2.19
14.20,233.13,2.50,234.15,2.43,228.26,2.13
14.40,233.63,2.44,234.63,2.36,228.68,2.08
14.60,234.11,2.37,235.10,2.30,229.09,2.02
14.80,234.57,2.30,235.55,2.23,229.49,1.96
15.00,235.03,2.22,235.99,2.16,229.88,1.90
15.20,235.46,2.15,236.41,2.09,230.25,1.83
15.40,235.89,2.07,236.82,2.01,230.61,1.77
15.60,236.29,1.99,237.22,1.93,230.96,1.70
15.80,236.68,1.91,237.60,1.85,231.29,1.63
16.00,237.06,1.83,237.96,1.77,231.61,1.56
16.20,237.41,1.74,238.31,1.69,231.91,1.49
16.40,237.75,1.66,238.64,1.61,232.20,1.41
16.60,238.08,1.57,238.95,1.52,232.48,1.34
16.80,238.38,1.48,239.25,1.43,232.74,1.26
17.00,238.67,1.39,239.52,1.34,232.98,1.18
17.20,238.93,1.29,239.78,1.25,233.21,1.10
17.40,239.18,1.20,240.03,1.16,233.42,1.02
17.60,239.41,1.10,240.25,1.07,233.62,0.94
17.80,239.62,1.01,240.45,0.98,233.80,0.86
18.00,239.82,0.91,240.64,0.88,233.96,0.77
18.20,239.99,0.81,240.81,0.79,234.11,0.69
18.40,240.14,0.71,240.95,0.69,234.24,0.61
18.60,240.27,0.61,241.08,0.59,234.35,0.52
18.80,240.38,0.51,241.19,0.49,234.45,0.43
19.00,240.48,0.41,241.28,0.40,234.52,0.35
19.20,240.55,0.31,241.35,0.30,234.59,0.26
19.40,240.60,0.20,241.40,0.20,234.63,0.17
19.60,240.63,0.10,241.43,0.10,234.66,0.09
19.80,240.64,0.03,241.44,0.02,234.66,0.02
20.00,240.64,0.15,241.44,0.60,234.66,-0.12
20.20,240.70,0.19,241.68,1.00,234.62,-0.35
20.40,240.71,-0.15,241.84,0.37,234.52,-0.69
20.60,240.64,-0.69,241.83,-0.67,234.34,-1.21
20.80,240.44,-1.37,241.57,-1.93,234.04,-1.82
