phase,epi,trans,endo
0.0000,235.8734,243.6656,233.7908
0.0204,233.7986,238.2345,232.1444
0.0408,231.7500,233.8764,230.5125
0.0612,229.8395,231.0592,228.9326
0.0816,228.1338,229.2470,227.5048
0.1020,226.5130,227.0463,226.3777
0.1224,224.7666,223.0477,225.6402
0.1429,222.7918,216.9068,225.2126
0.1633,220.6214,209.8375,224.8520
0.1837,218.2804,204.0589,224.2659
0.2041,215.6404,202.0000,223.2459
0.2245,212.3906,202.7488,221.7574
0.2449,208.2275,206.6809,219.9586
0.2653,203.2623,211.3787,218.1306
0.2857,200.0000,215.0660,216.5393
0.3061,200.0000,216.7736,215.3066
0.3265,200.0000,216.5791,214.4056
0.3469,200.0000,215.6006,213.8423
0.3673,200.0000,215.5795,213.8767
0.3878,200.8515,217.8370,214.9625
0.4082,205.9177,222.1641,217.3161
0.4286,210.4740,226.8485,220.5331
0.4490,214.1865,230.0815,223.7340
0.4694,217.2398,231.3703,226.1401
0.4898,219.8598,231.5876,227.5280
0.5102,222.0487,231.9087,228.2141
0.5306,223.6965,232.9165,228.6902
0.5510,224.7956,234.5420,229.2573
0.5714,225.5153,236.4358,229.9192
0.5918,226.1220,238.2144,230.5309
0.6122,226.8312,239.5698,230.9819
0.6327,227.6944,240.4060,231.2444
0.6531,228.6057,240.8931,231.3307
0.6735,229.4080,241.2984,231.2719
0.6939,230.0000,241.7675,231.1280
0.7143,230.3856,242.2867,230.9771
0.7347,230.6574,242.8061,230.8725
0.7551,230.9256,243.3508,230.7967
0.7755,231.2366,243.9945,230.6660
0.7959,231.5381,244.7272,230.4028
0.8163,231.7316,245.3818,230.0175
0.8367,231.7786,245.7021,229.6395
0.8571,231.7657,245.4908,229.4943
0.8776,231.8741,244.7814,229.8211
0.8980,232.2881,243.9441,230.7234
0.9184,233.0829,243.5167,232.0329
0.9388,234.1359,243.7649,233.3364
0.9592,235.1539,244.4175,234.1967
0.9796,235.8759,244.9660,234.4187
1.0000,236.3109,245.2305,234.1817
