phase,epi,trans,endo
0.0000,240.9692,248.0000,233.9756
0.0204,240.6287,248.0000,233.5089
0.0408,240.1465,248.0000,232.9566
0.0612,239.4220,248.0000,232.2322
0.0816,238.3784,248.0000,231.2516
0.1020,236.9071,248.0000,229.9525
0.1224,234.8936,247.9947,228.3283
0.1429,232.3285,245.5154,226.4461
0.1633,229.3814,242.2297,224.4241
0.1837,226.3216,238.6472,222.3931
0.2041,223.3114,235.3111,220.4668
0.2245,220.2266,232.5542,218.7368
0.2449,216.6762,230.3636,217.2817
0.2653,212.2934,228.4419,216.1586
0.2857,207.1792,226.4477,215.3558
0.3061,202.1685,224.2465,214.7587
0.3265,200.0000,221.9755,214.2084
0.3469,200.0000,219.9066,213.6453
0.3673,200.0000,218.2786,213.2119
0.3878,203.8735,217.2522,213.2006
0.4082,208.9267,216.9804,213.8873
0.4286,213.6335,217.6731,215.3911
0.4490,217.4505,219.5445,217.6404
0.4694,220.4606,222.6489,220.3998
0.4898,223.0112,226.7339,223.3077
0.5102,225.3665,231.2610,225.9427
0.5306,227.5731,235.6285,227.9427
0.5510,229.5243,239.4410,229.1334
0.5714,231.0992,242.5771,229.5879
0.5918,232.2588,245.0305,229.5684
0.6122,233.0596,246.7789,229.3839
0.6327,233.6120,247.8359,229.2583
0.6531,234.0274,248.0000,229.2792
0.6735,234.3873,248.0000,229.4263
0.6939,234.7394,248.0000,229.6322
0.7143,235.1052,248.0000,229.8333
0.7347,235.4785,248.0000,229.9898
0.7551,235.8171,248.0000,230.0780
0.7755,236.0573,248.0000,230.0771
0.7959,236.1655,248.0000,229.9767
0.8163,236.1921,248.0000,229.8148
0.8367,236.2695,248.0000,229.7106
0.8571,236.5394,248.0000,229.8375
0.8776,237.0727,248.0000,230.3300
0.8980,237.8377,248.0000,231.1828
0.9184,238.7206,248.0000,232.2187
0.9388,239.5723,248.0000,233.1642
0.9592,240.2669,248.0000,233.7893
0.9796,240.7576,248.0000,234.0267
1.0000,241.1065,248.0000,234.0050
