Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.09,202.00,0.12,200.00,0.09
0.40,200.04,0.18,202.05,0.24,200.03,0.17
0.80,200.15,0.36,202.19,0.47,200.14,0.35
1.20,200.33,0.54,202.42,0.70,200.31,0.52
1.60,200.58,0.72,202.75,0.93,200.56,0.69
2.00,200.91,0.90,203.17,1.16,200.87,0.86
2.40,201.30,1.07,203.68,1.38,201.24,1.02
2.80,201.76,1.24,204.28,1.60,201.69,1.18
3.20,202.29,1.40,204.96,1.81,202.19,1.34
3.60,202.88,1.56,205.72,2.01,202.76,1.49
4.00,203.53,1.71,206.57,2.20,203.38,1.63
4.40,204.25,1.85,207.49,2.39,204.06,1.77
4.80,205.01,1.98,208.48,2.56,204.79,1.90
5.20,205.83,2.11,209.54,2.73,205.58,2.02
5.60,206.70,2.23,210.66,2.88,206.41,2.13
6.00,207.62,2.34,211.84,3.02,207.28,2.24
6.40,208.57,2.44,213.08,3.15,208.20,2.33
6.80,209.57,2.53,214.36,3.27,209.15,2.42
7.20,210.59,2.61,215.69,3.37,210.13,2.49
7.60,211.65,2.68,217.06,3.46,211.14,2.56
8.00,212.73,2.73,218.46,3.53,212.18,2.61
8.40,213.84,2.78,219.88,3.59,213.23,2.66
8.80,214.96,2.81,221.33,3.64,214.31,2.69
9.20,216.09,2.84,222.79,3.67,215.39,2.71
9.60,217.23,2.85,224.26,3.68,216.48,2.73
10.00,218.37,2.85,225.74,3.68,217.57,2.73
10.40,219.51,2.84,227.21,3.67,218.66,2.71
10.80,220.64,2.81,228.67,3.64,219.74,2.69
11.20,221.76,2.78,230.12,3.59,220.81,2.66
11.60,222.86,2.73,231.54,3.53,221.87,2.61
12.00,223.94,2.68,232.94,3.46,222.90,2.56
12.40,225.00,2.61,234.31,3.37,223.91,2.49
12.80,226.03,2.53,235.64,3.27,224.90,2.42
13.20,227.02,2.44,236.92,3.15,225.85,2.33
13.60,227.98,2.34,238.16,3.02,226.76,2.24
14.00,228.89,2.23,239.34,2.88,227.64,2.13
14.40,229.76,2.11,240.46,2.73,228.47,2.02
14.80,230.58,1.98,241.52,2.56,229.25,1.90
15.20,231.35,1.85,242.51,2.39,229.98,1.77
15.60,232.06,1.71,243.43,2.20,230.66,1.63
16.00,232.71,1.56,244.28,2.01,231.29,1.49
16.40,233.30,1.40,245.04,1.81,231.85,1.34
16.80,233.83,1.24,245.72,1.60,232.36,1.18
17.20,234.29,1.07,246.32,1.38,232.80,1.02
17.60,234.69,0.90,246.83,1.16,233.18,0.86
18.00,235.01,0.72,247.25,0.93,233.49,0.69
18.40,235.27,0.54,247.58,0.70,233.73,0.52
18.80,235.45,0.36,247.81,0.47,233.91,0.35
19.20,235.56,0.18,247.95,0.24,234.01,0.17
19.60,235.59,0.05,248.00,0.06,234.05,0.04
20.00,235.59,-1.48,248.00,-5.83,234.05,-1.57
20.40,234.41,-3.05,243.33,-12.60,232.79,-3.18
20.80,233.16,-3.22,237.92,-12.43,231.50,-3.21
21.20,231.83,-3.35,233.39,-10.17,230.22,-3.08
21.60,230.48,-3.47,229.78,-8.48,229.03,-2.67
22.00,229.06,-3.79,226.61,-8.28,228.08,-1.99
22.40,227.45,-4.43,223.16,-9.28,227.44,-1.23
22.80,225.51,-5.30,219.18,-10.06,227.09,-0.73
23.20,223.21,-6.09,215.11,-9.18,226.86,-0.73
23.60,220.64,-6.49,211.84,-6.19,226.51,-1.33
24.00,218.01,-6.52,210.16,-1.86,225.80,-2.38
24.40,215.43,-6.53,210.35,2.37,224.60,-3.59
24.80,212.79,-7.03,212.06,5.19,222.93,-4.63
25.20,209.80,-8.11,214.51,5.97,220.90,-5.21
25.60,206.30,-9.18,216.83,4.95,218.76,-5.14
26.00,202.46,-7.87,218.46,3.10,216.79,-4.33
26.40,200.00,-3.07,219.31,1.71,215.30,-2.76
26.80,200.00,0.00,219.83,1.77,214.58,-0.55
27.20,200.00,0.00,220.73,3.35,214.86,2.04
27.60,200.00,0.78,222.51,5.50,216.21,4.46
28.00,200.62,6.42,225.13,6.72,218.43,6.09
28.40,205.14,11.76,227.89,6.09,221.08,6.46
28.80,210.03,11.64,230.00,4.03,223.60,5.59
29.20,214.45,9.81,231.12,1.96,225.55,3.98
29.60,217.87,7.17,231.57,1.06,226.78,2.37
30.00,220.19,4.67,231.97,1.46,227.45,1.35
30.40,221.61,2.91,232.74,2.41,227.87,1.15
30.80,222.52,2.05,233.89,3.10,228.36,1.52
31.20,223.26,1.98,235.22,3.35,229.08,1.99
31.60,224.10,2.41,236.57,3.49,229.96,2.09
32.00,225.18,2.97,238.01,3.89,230.75,1.64
32.40,226.48,3.28,239.68,4.40,231.26,0.82
32.80,227.81,3.12,241.53,4.51,231.41,-0.01
33.20,228.97,2.54,243.29,3.87,231.26,-0.55
33.60,229.84,1.80,244.63,2.64,230.97,-0.69
34.00,230.41,1.18,245.40,1.37,230.70,-0.50
34.40,230.78,0.79,245.72,0.51,230.57,-0.15
34.80,231.05,0.60,245.81,0.23,230.58,0.12
35.20,231.26,0.47,245.91,0.41,230.66,0.08
35.60,231.42,0.27,246.14,0.80,230.65,-0.33
36.00,231.48,-0.01,246.55,1.14,230.40,-0.92
36.40,231.41,-0.22,247.06,1.14,229.91,-1.25
36.80,231.30,-0.23,247.46,0.57,229.40,-0.89
37.20,231.23,0.04,247.52,-0.47,229.20,0.24
37.60,231.33,0.52,247.08,-1.50,229.58,1.70
38.00,231.65,1.15,246.32,-1.72,230.56,2.79
38.40,232.25,1.85,245.71,-0.61,231.81,2.95
38.80,233.13,2.52,245.83,1.59,232.92,2.25
39.20,234.26,2.99,246.98,2.71,233.61,1.31
39.60,235.52,1.67,248.00,1.28,233.97,0.54
40.00,235.59,-1.39,248.00,-5.83,234.05,-1.48
40.40,234.41,-3.05,243.33,-12.60,232.79,-3.18
40.80,233.16,-3.22,237.92,-12.43,231.50,-3.21
41.20,231.83,-3.35,233.39,-10.17,230.22,-3.08
41.60,230.48,-3.47,229.78,-8.48,229.03,-2.67
42.00,229.06,-3.79,226.61,-8.28,228.08,-1.99
42.40,227.45,-4.43,223.16,-9.28,227.44,-1.23
42.80,225.51,-5.30,219.18,-10.06,227.09,-0.73
43.20,223.21,-6.09,215.11,-9.18,226.86,-0.73
43.60,220.64,-6.49,211.84,-6.19,226.51,-1.33
44.00,218.01,-6.52,210.16,-1.86,225.80,-2.38
44.40,215.43,-6.53,210.35,2.37,224.60,-3.59
44.80,212.79,-7.03,212.06,5.19,222.93,-4.63
45.20,209.80,-8.11,214.51,5.97,220.90,-5.21
45.60,206.30,-9.18,216.83,4.95,218.76,-5.14
46.00,202.46,-7.87,218.46,3.10,216.79,-4.33
46.40,200.00,-3.07,219.31,1.71,215.30,-2.76
46.80,200.00,0.00,219.83,1.77,214.58,-0.55
47.20,200.00,0.00,220.73,3.35,214.86,2.04
47.60,200.00,0.78,222.51,5.50,216.21,4.46
48.00,200.62,6.42,225.13,6.72,218.43,6.09
48.40,205.14,11.76,227.89,6.09,221.08,6.46
48.80,210.03,11.64,230.00,4.03,223.60,5.59
49.20,214.45,9.81,231.12,1.96,225.55,3.98
49.60,217.87,7.17,231.57,1.06,226.78,2.37
50.00,220.19,4.67,231.97,1.46,227.45,1.35
50.40,221.61,2.91,232.74,2.41,227.87,1.15
50.80,222.52,2.05,233.89,3.10,228.36,1.52
51.20,223.26,1.98,235.22,3.35,229.08,1.99
51.60,224.10,2.41,236.57,3.49,229.96,2.09
52.00,225.18,2.97,238.01,3.89,230.75,1.64
