Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.06,202.00,0.05,200.00,0.05
0.20,200.01,0.12,202.01,0.11,200.01,0.09
0.40,200.05,0.24,202.04,0.22,200.04,0.18
0.60,200.11,0.36,202.10,0.32,200.08,0.28
0.80,200.19,0.48,202.17,0.43,200.15,0.37
1.00,200.30,0.60,202.27,0.54,200.23,0.46
1.20,200.43,0.71,202.39,0.64,200.33,0.55
1.40,200.58,0.83,202.53,0.75,200.45,0.64
1.60,200.76,0.95,202.69,0.85,200.59,0.73
1.80,200.96,1.06,202.87,0.96,200.74,0.82
2.00,201.19,1.18,203.07,1.06,200.92,0.91
2.20,201.44,1.29,203.29,1.16,201.11,1.00
2.40,201.71,1.40,203.53,1.26,201.32,1.08
2.60,202.00,1.51,203.80,1.36,201.54,1.17
2.80,202.31,1.62,204.08,1.46,201.78,1.25
3.00,202.65,1.73,204.38,1.56,202.04,1.34
3.20,203.00,1.84,204.70,1.65,202.32,1.42
3.40,203.38,1.94,205.04,1.75,202.61,1.50
3.60,203.78,2.04,205.40,1.84,202.92,1.58
3.80,204.20,2.14,205.78,1.93,203.24,1.65
4.00,204.64,2.24,206.17,2.01,203.58,1.73
4.20,205.09,2.33,206.58,2.10,203.93,1.80
4.40,205.57,2.43,207.01,2.18,204.30,1.87
4.60,206.06,2.52,207.46,2.27,204.68,1.94
4.80,206.58,2.61,207.92,2.34,205.08,2.01
5.00,207.11,2.69,208.39,2.42,205.49,2.08
5.20,207.65,2.77,208.88,2.50,205.91,2.14
5.40,208.22,2.85,209.39,2.57,206.34,2.20
5.60,208.79,2.93,209.91,2.64,206.79,2.26
5.80,209.39,3.01,210.45,2.70,207.25,2.32
6.00,210.00,3.08,210.99,2.77,207.72,2.38
6.20,210.62,3.14,211.55,2.83,208.20,2.43
6.40,211.25,3.21,212.12,2.89,208.69,2.48
6.60,211.90,3.27,212.71,2.94,209.19,2.53
6.80,212.56,3.33,213.30,2.99,209.70,2.57
7.00,213.23,3.38,213.91,3.04,210.22,2.61
7.20,213.92,3.44,214.52,3.09,210.75,2.65
7.40,214.61,3.48,215.14,3.13,211.28,2.69
7.60,215.31,3.53,215.77,3.17,211.82,2.72
7.80,216.02,3.57,216.41,3.21,212.37,2.76
8.00,216.74,3.61,217.06,3.24,212.93,2.78
8.20,217.46,3.64,217.71,3.27,213.48,2.81
8.40,218.19,3.67,218.37,3.30,214.05,2.83
8.60,218.93,3.70,219.03,3.33,214.62,2.85
8.80,219.67,3.72,219.70,3.35,215.19,2.87
9.00,220.42,3.74,220.37,3.36,215.77,2.89
9.20,221.17,3.75,221.04,3.38,216.35,2.90
