Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.06,202.00,0.06,200.00,0.05
0.20,200.01,0.12,202.01,0.11,200.01,0.09
0.40,200.05,0.24,202.05,0.23,200.04,0.18
0.60,200.11,0.36,202.10,0.34,200.08,0.27
0.80,200.19,0.48,202.18,0.45,200.15,0.37
1.00,200.30,0.60,202.28,0.57,200.23,0.46
1.20,200.43,0.72,202.41,0.68,200.33,0.55
1.40,200.59,0.84,202.56,0.79,200.45,0.64
1.60,200.77,0.96,202.73,0.90,200.58,0.72
1.80,200.97,1.07,202.92,1.01,200.74,0.81
2.00,201.20,1.19,203.13,1.12,200.91,0.90
2.20,201.45,1.30,203.36,1.23,201.10,0.99
2.40,201.72,1.42,203.62,1.33,201.30,1.07
2.60,202.01,1.53,203.90,1.44,201.53,1.16
2.80,202.33,1.64,204.20,1.54,201.76,1.24
3.00,202.67,1.74,204.52,1.65,202.02,1.32
3.20,203.03,1.85,204.86,1.75,202.29,1.40
3.40,203.41,1.96,205.21,1.84,202.58,1.48
3.60,203.81,2.06,205.59,1.94,202.89,1.56
3.80,204.23,2.16,205.99,2.04,203.21,1.64
4.00,204.67,2.26,206.41,2.13,203.54,1.71
4.20,205.13,2.35,206.84,2.22,203.89,1.78
4.40,205.61,2.45,207.29,2.31,204.25,1.85
4.60,206.11,2.54,207.77,2.39,204.63,1.92
4.80,206.63,2.63,208.25,2.48,205.02,1.99
5.00,207.16,2.71,208.76,2.56,205.43,2.06
5.20,207.72,2.80,209.28,2.64,205.84,2.12
5.40,208.28,2.88,209.81,2.71,206.27,2.18
5.60,208.87,2.96,210.36,2.79,206.72,2.24
5.80,209.47,3.03,210.93,2.86,207.17,2.30
6.00,210.08,3.10,211.50,2.92,207.63,2.35
6.20,210.71,3.17,212.10,2.99,208.11,2.40
6.40,211.35,3.24,212.70,3.05,208.60,2.45
6.60,212.00,3.30,213.32,3.11,209.09,2.50
6.80,212.67,3.36,213.94,3.16,209.59,2.54
7.00,213.34,3.41,214.58,3.22,210.11,2.58
7.20,214.03,3.46,215.23,3.27,210.63,2.62
7.40,214.73,3.51,215.89,3.31,211.16,2.66
7.60,215.43,3.56,216.56,3.35,211.69,2.69
7.80,216.15,3.60,217.23,3.39,212.23,2.73
8.00,216.87,3.64,217.91,3.43,212.78,2.75
8.20,217.60,3.67,218.60,3.46,213.34,2.78
8.40,218.34,3.70,219.30,3.49,213.89,2.80
8.60,219.08,3.73,220.00,3.51,214.46,2.82
8.80,219.83,3.75,220.70,3.54,215.02,2.84
9.00,220.58,3.77,221.41,3.55,215.59,2.85
9.20,221.34,3.78,222.12,3.57,216.17,2.87
9.40,222.10,3.80,222.84,3.58,216.74,2.88
9.60,222.86,3.80,223.56,3.59,217.32,2.88
9.80,223.62,3.81,224.27,3.59,217.89,2.88
10.00,224.38,3.81,224.99,3.59,218.47,2.88
10.20,225.14,3.80,225.71,3.59,219.05,2.88
10.40,225.90,3.80,226.43,3.58,219.62,2.88
10.60,226.66,3.78,227.14,3.57,220.20,2.87
