Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.06,202.00,0.06,200.00,0.05
0.20,200.01,0.12,202.01,0.12,200.01,0.09
0.40,200.05,0.24,202.05,0.23,200.04,0.18
0.60,200.11,0.36,202.10,0.35,200.08,0.28
0.80,200.19,0.48,202.19,0.46,200.15,0.37
1.00,200.30,0.60,202.29,0.58,200.23,0.46
1.20,200.43,0.72,202.42,0.69,200.33,0.55
1.40,200.59,0.84,202.57,0.80,200.45,0.64
1.60,200.77,0.96,202.74,0.92,200.59,0.73
1.80,200.97,1.07,202.93,1.03,200.74,0.82
2.00,201.20,1.19,203.15,1.14,200.92,0.91
2.20,201.45,1.30,203.39,1.25,201.11,1.00
2.40,201.72,1.42,203.65,1.36,201.32,1.08
2.60,202.01,1.53,203.93,1.46,201.54,1.17
2.80,202.33,1.64,204.23,1.57,201.78,1.25
3.00,202.67,1.74,204.56,1.67,202.04,1.34
3.20,203.03,1.85,204.90,1.77,202.32,1.42
3.40,203.41,1.96,205.27,1.87,202.61,1.50
3.60,203.81,2.06,205.65,1.97,202.92,1.58
3.80,204.23,2.16,206.06,2.07,203.24,1.65
4.00,204.67,2.26,206.48,2.16,203.58,1.73
4.20,205.13,2.35,206.92,2.26,203.93,1.80
4.40,205.61,2.45,207.38,2.35,204.30,1.87
4.60,206.11,2.54,207.86,2.43,204.68,1.94
4.80,206.63,2.63,208.35,2.52,205.08,2.01
5.00,207.16,2.71,208.87,2.60,205.49,2.08
5.20,207.72,2.80,209.39,2.68,205.91,2.14
5.40,208.28,2.88,209.94,2.76,206.35,2.20
5.60,208.87,2.96,210.50,2.83,206.79,2.26
5.80,209.47,3.03,211.07,2.90,207.25,2.32
6.00,210.08,3.10,211.66,2.97,207.72,2.38
6.20,210.71,3.17,212.26,3.04,208.20,2.43
6.40,211.35,3.24,212.87,3.10,208.69,2.48
6.60,212.00,3.30,213.50,3.16,209.19,2.53
6.80,212.67,3.36,214.14,3.22,209.70,2.57
7.00,213.34,3.41,214.79,3.27,210.22,2.61
7.20,214.03,3.46,215.45,3.32,210.75,2.65
7.40,214.73,3.51,216.11,3.37,211.28,2.69
7.60,215.43,3.56,216.79,3.41,211.82,2.72
7.80,216.15,3.60,217.48,3.45,212.37,2.76
8.00,216.87,3.64,218.17,3.48,212.93,2.79
8.20,217.60,3.67,218.87,3.52,213.49,2.81
8.40,218.34,3.70,219.58,3.55,214.05,2.83
8.60,219.08,3.73,220.29,3.57,214.62,2.85
8.80,219.83,3.75,221.01,3.59,215.19,2.87
9.00,220.58,3.77,221.73,3.61,215.77,2.89
9.20,221.34,3.78,222.45,3.63,216.35,2.90
9.40,222.10,3.80,223.18,3.64,216.93,2.91
9.60,222.86,3.80,223.91,3.64,217.51,2.91
9.80,223.62,3.81,224.63,3.65,218.09,2.92
10.00,224.38,3.81,225.36,3.65,218.68,2.92
10.20,225.14,3.80,226.09,3.64,219.26,2.91
10.40,225.90,3.80,226.82,3.64,219.84,2.91
10.60,226.66,3.78,227.55,3.63,220.42,2.90
10.80,227.42,3.77,228.27,3.61,221.00,2.89
11.00,228.17,3.75,228.99,3.59,221.58,2.87
11.20,228.92,3.73,229.71,3.57,222.15,2.85
11.40,229.66,3.70,230.42,3.55,222.72,2.83
11.60,230.40,3.67,231.13,3.52,223.29,2.81
11.80,231.13,3.64,231.83,3.48,223.85,2.79
12.00,231.85,3.60,232.52,3.45,224.40,2.76
12.20,232.56,3.56,233.21,3.41,224.95,2.72
12.40,233.27,3.51,233.89,3.37,225.49,2.69
12.60,233.97,3.46,234.55,3.32,226.02,2.65
12.80,234.66,3.41,235.21,3.27,226.55,2.61
13.00,235.33,3.36,235.86,3.22,227.07,2.57
13.20,236.00,3.30,236.50,3.16,227.58,2.53
13.40,236.65,3.24,237.13,3.10,228.08,2.48
13.60,237.29,3.17,237.74,3.04,228.57,2.43
13.80,237.92,3.10,238.34,2.97,229.05,2.38
14.00,238.53,3.03,238.93,2.90,229.52,2.32
14.20,239.13,2.96,239.50,2.83,229.98,2.26
14.40,239.72,2.88,240.06,2.76,230.43,2.20
14.60,240.28,2.80,240.61,2.68,230.86,2.14
14.80,240.84,2.71,241.13,2.60,231.28,2.08
15.00,241.37,2.63,241.65,2.52,231.69,2.01
15.20,241.89,2.54,242.14,2.43,232.09,1.94
15.40,242.38,2.45,242.62,2.35,232.47,1.87
15.60,242.86,2.35,243.08,2.26,232.84,1.80
15.80,243.33,2.26,243.52,2.16,233.19,1.73
16.00,243.77,2.16,243.94,2.07,233.53,1.65
16.20,244.19,2.06,244.35,1.97,233.85,1.58
16.40,244.59,1.96,244.73,1.87,234.16,1.50
16.60,244.97,1.85,245.10,1.77,234.45,1.42
16.80,245.33,1.74,245.44,1.67,234.73,1.34
17.00,245.67,1.64,245.77,1.57,234.99,1.25
17.20,245.99,1.53,246.07,1.46,235.23,1.17
17.40,246.28,1.42,246.35,1.36,235.46,1.08
17.60,246.55,1.30,246.61,1.25,235.66,1.00
17.80,246.80,1.19,246.85,1.14,235.85,0.91
18.00,247.03,1.07,247.07,1.03,236.03,0.82
18.20,247.23,0.96,247.26,0.92,236.18,0.73
18.40,247.41,0.84,247.43,0.80,236.32,0.64
18.60,247.57,0.72,247.58,0.69,236.44,0.55
18.80,247.70,0.60,247.71,0.58,236.54,0.46
19.00,247.81,0.48,247.81,0.46,236.62,0.37
19.20,247.89,0.36,247.90,0.35,236.69,0.28
19.40,247.95,0.24,247.95,0.23,236.74,0.18
19.60,247.99,0.12,247.99,0.12,236.76,0.09
19.80,248.00,0.03,248.00,0.03,236.77,0.02
20.00,248.00,0.00,248.00,-0.12,236.77,-0.01
20.20,248.00,-0.14,247.95,-1.71,236.77,0.03
20.40,247.94,-1.20,247.32,-4.98,236.78,-0.03
20.60,247.52,-2.87,245.96,-7.69,236.76,-0.48
20.80,246.80,-4.12,244.24,-8.35,236.59,-1.25
21.00,245.87,-4.87,242.62,-7.31,236.26,-2.00
21.20,244.85,-5.21,241.31,-5.87,235.79,-2.47
21.40,243.79,-5.34,240.27,-4.88,235.27,-2.65
21.60,242.71,-5.31,239.36,-4.38,234.73,-2.67
21.80,241.66,-5.16,238.52,-4.12,234.20,-2.62
22.00,240.65,-4.93,237.72,-3.95,233.68,-2.54
22.20,239.69,-4.70,236.94,-3.87,233.18,-2.45
22.40,238.77,-4.51,236.17,-3.87,232.70,-2.36
22.60,237.89,-4.34,235.39,-3.92,232.24,-2.28
22.80,237.04,-4.18,234.60,-3.98,231.79,-2.20
23.00,236.22,-4.01,233.80,-4.00,231.36,-2.11
23.20,235.43,-3.81,233.00,-3.97,230.95,-2.01
23.40,234.69,-3.61,232.21,-3.92,230.56,-1.90
23.60,233.99,-3.42,231.43,-3.88,230.19,-1.78
23.80,233.32,-3.24,230.66,-3.86,229.84,-1.65
24.00,232.69,-3.05,229.89,-3.89,229.53,-1.51
24.20,232.10,-2.86,229.10,-3.96,229.24,-1.35
24.40,231.55,-2.70,228.30,-4.07,228.99,-1.18
24.60,231.02,-2.56,227.48,-4.18,228.77,-1.02
24.80,230.53,-2.44,226.63,-4.27,228.58,-0.87
25.00,230.05,-2.32,225.77,-4.34,228.42,-0.72
25.20,229.60,-2.17,224.89,-4.45,228.29,-0.57
25.40,229.18,-1.98,223.99,-4.61,228.19,-0.39
25.60,228.81,-1.76,223.05,-4.79,228.13,-0.22
25.80,228.48,-1.54,222.08,-4.92,228.11,-0.06
26.00,228.19,-1.37,221.08,-4.95,228.11,0.06
26.20,227.93,-1.28,220.10,-4.81,228.13,0.12
26.40,227.68,-1.21,219.16,-4.43,228.16,0.16
26.60,227.45,-1.07,218.32,-3.72,228.19,0.17
26.80,227.25,-0.82,217.67,-2.63,228.23,0.17
27.00,227.12,-0.56,217.27,-1.33,228.26,0.11
27.20,227.03,-0.40,217.14,-0.15,228.27,-0.00
