Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.09,202.00,0.08,200.00,0.09
0.40,200.04,0.18,202.03,0.17,200.04,0.18
0.80,200.14,0.36,202.14,0.34,200.14,0.35
1.20,200.32,0.53,202.30,0.51,200.32,0.53
1.60,200.57,0.71,202.54,0.67,200.56,0.70
2.00,200.89,0.88,202.84,0.83,200.88,0.87
2.40,201.27,1.05,203.21,0.99,201.26,1.04
2.80,201.73,1.21,203.63,1.15,201.71,1.20
3.20,202.24,1.37,204.12,1.30,202.22,1.35
3.60,202.82,1.52,204.67,1.44,202.79,1.51
4.00,203.46,1.67,205.28,1.58,203.42,1.65
4.40,204.16,1.81,205.94,1.71,204.11,1.79
4.80,204.91,1.94,206.65,1.84,204.85,1.92
5.20,205.71,2.07,207.41,1.96,205.65,2.04
5.60,206.56,2.18,208.21,2.07,206.49,2.16
6.00,207.46,2.29,209.06,2.17,207.38,2.26
6.40,208.39,2.39,209.95,2.26,208.30,2.36
6.80,209.36,2.47,210.87,2.34,209.26,2.45
7.20,210.37,2.55,211.82,2.42,210.26,2.52
7.60,211.41,2.62,212.80,2.48,211.28,2.59
8.00,212.47,2.68,213.81,2.53,212.33,2.65
8.40,213.55,2.72,214.83,2.58,213.40,2.69
8.80,214.64,2.76,215.87,2.61,214.49,2.73
9.20,215.75,2.78,216.92,2.63,215.58,2.75
9.60,216.87,2.79,217.97,2.64,216.68,2.76
10.00,217.98,2.79,219.03,2.64,217.79,2.76
10.40,219.10,2.78,220.08,2.63,218.89,2.75
10.80,220.21,2.76,221.13,2.61,219.99,2.73
11.20,221.30,2.72,222.17,2.58,221.07,2.69
11.60,222.38,2.68,223.19,2.53,222.14,2.65
12.00,223.44,2.62,224.20,2.48,223.19,2.59
12.40,224.48,2.55,225.18,2.42,224.21,2.52
12.80,225.48,2.47,226.13,2.34,225.21,2.45
13.20,226.46,2.39,227.05,2.26,226.17,2.36
13.60,227.39,2.29,227.94,2.17,227.10,2.26
14.00,228.29,2.18,228.79,2.07,227.98,2.16
14.40,229.14,2.07,229.59,1.96,228.83,2.04
14.80,229.94,1.94,230.35,1.84,229.62,1.92
15.20,230.69,1.81,231.06,1.71,230.36,1.79
15.60,231.39,1.67,231.72,1.58,231.05,1.65
16.00,232.03,1.52,232.33,1.44,231.68,1.51
16.40,232.61,1.37,232.88,1.30,232.26,1.35
16.80,233.12,1.21,233.37,1.15,232.77,1.20
17.20,233.58,1.05,233.79,0.99,233.21,1.04
17.60,233.96,0.88,234.16,0.83,233.60,0.87
18.00,234.28,0.71,234.46,0.67,233.91,0.70
18.40,234.53,0.53,234.70,0.51,234.16,0.53
18.80,234.71,0.36,234.86,0.34,234.33,0.35
19.20,234.81,0.18,234.97,0.17,234.44,0.18
19.60,234.85,0.04,235.00,0.04,234.47,0.04
20.00,234.85,0.19,235.00,0.00,234.47,0.00
20.40,235.00,0.19,235.00,0.00,234.47,-0.30
20.80,235.00,0.00,235.00,-0.91,234.23,-1.29
21.20,235.00,0.00,234.27,-2.64,233.45,-2.53
21.60,235.00,-0.43,232.89,-5.85,232.21,-3.04
22.00,234.65,-2.33,229.59,-8.04,231.01,-3.84
22.40,233.13,-4.18,226.46,-7.39,229.14,-4.34
22.80,231.31,-5.00,223.68,-5.92,227.55,-3.86
23.20,229.14,-5.37,221.72,-3.78,226.05,-3.53
23.60,227.02,-5.17,220.66,-2.12,224.72,-3.26
24.00,225.00,-4.90,220.03,-1.66,223.45,-3.27
24.40,223.10,-4.85,219.33,-2.13,222.11,-3.82
24.80,221.12,-5.07,218.33,-2.93,220.39,-3.93
25.20,219.04,-5.32,216.99,-3.44,218.96,-3.54
25.60,216.86,-5.02,215.58,-3.32,217.56,-4.05
26.00,215.02,-4.99,214.33,-2.60,215.72,-4.36
26.40,212.86,-5.03,213.49,-2.15,214.07,-4.73
26.80,210.99,-4.91,212.61,-2.39,211.93,-4.29
27.20,208.94,-5.22,211.58,-2.72,210.64,-3.55
27.60,206.81,-5.11,210.43,-3.02,209.09,-3.64
28.00,204.85,-4.38,209.16,-3.14,207.73,-3.18
28.40,203.30,-3.18,207.92,-2.90,206.55,-2.68
28.80,202.31,-1.63,206.84,-2.63,205.58,-2.26
29.20,202.00,-0.29,205.81,-2.48,204.74,-2.00
29.60,202.07,0.38,204.86,-2.40,203.98,-1.97
